sep=,
#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"ARR_DATA(I)","Integral(5.44040184,5.39316392)","","Integral(5.26046627,5.21905797)","","Integral(4.67084105,4.62131936)","","Integral(4.01091143,3.98242444)","",
146,13200.00000000,43.31505509,0.00000000,1.26307967,0.00000000,0.21949321,0.00000000,3.88973179,0.00000000,
147,13292.00000000,39.72775563,0.00000000,1.30372559,0.00000000,0.22894343,0.00000000,4.21793778,0.00000000,
148,13385.00000000,43.16702534,0.00000000,1.32286223,0.00000000,0.23377985,0.00000000,4.18473209,0.00000000,
149,13474.00000000,43.16663972,0.00000000,1.32489144,0.00000000,0.22956425,0.00000000,4.42130359,0.00000000,
150,13563.00000000,43.24939293,0.00000000,1.32909886,0.00000000,0.23557420,0.00000000,4.03450496,0.00000000,
151,13652.00000000,43.05031986,0.00000000,1.35999150,0.00000000,0.23700471,0.00000000,3.80900532,0.00000000,
152,13742.00000000,42.98219714,0.00000000,1.35753448,0.00000000,0.23885005,0.00000000,4.46912731,0.00000000,
153,13834.00000000,42.99173963,0.00000000,1.35055768,0.00000000,0.24122338,0.00000000,4.23584908,0.00000000,
154,13925.00000000,42.91946851,0.00000000,1.35117974,0.00000000,0.24253506,0.00000000,4.43386383,0.00000000,
155,14014.00000000,42.89826861,0.00000000,1.42813960,0.00000000,0.24497633,0.00000000,4.01327332,0.00000000,
156,14102.00000000,39.64685119,0.00000000,1.32629002,0.00000000,0.24541965,0.00000000,4.30729755,0.00000000,
157,14192.00000000,39.51825226,0.00000000,1.30758876,0.00000000,0.24487088,0.00000000,4.84344361,0.00000000,
158,14281.00000000,41.34730943,0.00000000,1.38938581,0.00000000,0.25686772,0.00000000,4.18306182,0.00000000,
159,14372.00000000,42.66522741,0.00000000,1.37292057,0.00000000,0.26250465,0.00000000,4.73508178,0.00000000,
160,14461.00000000,42.69124525,0.00000000,1.40657163,0.00000000,0.26394190,0.00000000,4.22828507,0.00000000,
161,14552.00000000,42.53236159,0.00000000,1.38607175,0.00000000,0.25441781,0.00000000,4.65753683,0.00000000,
162,14642.00000000,39.23372428,0.00000000,1.39347886,0.00000000,0.25363089,0.00000000,5.10467327,0.00000000,
163,14732.00000000,39.30494867,0.00000000,1.40556826,0.00000000,0.25959522,0.00000000,4.66211035,0.00000000,
164,14822.00000000,42.33933486,0.00000000,1.41151682,0.00000000,0.26098423,0.00000000,5.00214417,0.00000000,
165,14914.00000000,42.32430528,0.00000000,1.40912379,0.00000000,0.26446320,0.00000000,5.46486776,0.00000000,
166,15002.00000000,42.34479766,0.00000000,1.43820213,0.00000000,0.27356905,0.00000000,5.05733255,0.00000000,
167,15093.00000000,40.89907236,0.00000000,1.44234313,0.00000000,0.26436195,0.00000000,5.30571934,0.00000000,
168,15184.00000000,42.23052431,0.00000000,1.44359782,0.00000000,0.27741544,0.00000000,5.51945354,0.00000000,
169,15276.00000000,38.99694600,0.00000000,1.48817935,0.00000000,0.26948059,0.00000000,5.21994720,0.00000000,
170,15366.00000000,42.08277840,0.00000000,1.45324482,0.00000000,0.27978196,0.00000000,4.60912450,0.00000000,
171,15455.00000000,40.64723475,0.00000000,1.39331589,0.00000000,0.26988983,0.00000000,5.07845084,0.00000000,
172,15545.00000000,42.06821213,0.00000000,1.47608925,0.00000000,0.27465276,0.00000000,5.19126344,0.00000000,
173,15634.00000000,41.88602308,0.00000000,1.47162104,0.00000000,0.28433185,0.00000000,5.36192551,0.00000000,
174,15723.00000000,38.44460602,0.00000000,1.45971997,0.00000000,0.27637489,0.00000000,4.92980281,0.00000000,
175,15815.00000000,41.81132480,0.00000000,1.51914314,0.00000000,0.27814321,0.00000000,5.09280955,0.00000000,
176,15906.00000000,41.71897661,0.00000000,1.51891844,0.00000000,0.29204629,0.00000000,4.93526092,0.00000000,
177,15994.00000000,41.81399935,0.00000000,1.51794749,0.00000000,0.27888119,0.00000000,5.14397198,0.00000000,
178,16083.00000000,41.80562551,0.00000000,1.51274581,0.00000000,0.27584995,0.00000000,5.19196111,0.00000000,
179,16172.00000000,41.62623662,0.00000000,1.50334779,0.00000000,0.26983100,0.00000000,4.90537171,0.00000000,
180,16261.00000000,38.53588618,0.00000000,1.45838878,0.00000000,0.26905014,0.00000000,5.58399238,0.00000000,
181,16354.00000000,38.46494740,0.00000000,1.53030987,0.00000000,0.27563781,0.00000000,5.51581917,0.00000000,
182,16447.00000000,38.18792075,0.00000000,1.53739197,0.00000000,0.28124267,0.00000000,5.16040256,0.00000000,
183,16538.00000000,41.40586207,0.00000000,1.51774208,0.00000000,0.28852094,0.00000000,5.51010564,0.00000000,
184,16638.00000000,41.31806602,0.00000000,1.52309098,0.00000000,0.28678328,0.00000000,5.93539716,0.00000000,
185,16727.00000000,41.31669356,0.00000000,1.55649857,0.00000000,0.28606292,0.00000000,5.03980602,0.00000000,
186,16820.00000000,38.26538639,0.00000000,1.59690020,0.00000000,0.28901901,0.00000000,5.24617359,0.00000000,
187,16912.00000000,39.82211447,0.00000000,1.60216704,0.00000000,0.29253706,0.00000000,5.77674544,0.00000000,
188,17001.00000000,41.07783772,0.00000000,1.56369693,0.00000000,0.28008202,0.00000000,5.53996710,0.00000000,
189,17097.00000000,41.02804277,0.00000000,1.53647519,0.00000000,0.28314029,0.00000000,5.40061102,0.00000000,
