;produkt;produkt;produkt;produkt;silan;silan;silan;heksen;heksen;heksen;heksen;heksen;all;product sum;silane sum;hexene sum
czas (s);Integral(3,343730,3,256018);Integral(3,722376,3,681636);Integral(3,756886,3,722376);Integral(4,078496,3,994139);Integral(3,406997,3,343730);Integral(3,832615,3,756886);Integral(6,564104,6,422073);Integral(3,679897,3,599926);Integral(4,129027,4,079348);Integral(4,857709,4,668059);Integral(7,838666,7,616258);Integral(8,647265,8,440374);Integral(10,387961,2,952301);;;
660;192,876;79,4075;274,251;236,501;418,946;602,132;74,8131;300,33;184,05;201,304;174,698;71,5353;6753,9;783,0355;1095,8911;931,9173
665;196,19;79,4601;277,341;236,294;418,253;598,753;74,8601;303,233;182,757;201,186;175,025;71,2883;6762,32;789,2851;1091,8661;933,4893
670;187,573;77,515;272,553;235,212;421,494;608,287;75,0528;296,673;186,18;202,224;176,163;73,8721;6763,56;772,853;1104,8338;935,1121
675;193,875;79,8049;275,289;236,064;419,766;602,66;75,1521;301,843;183,914;201,768;175,708;71,7692;6774,78;785,0329;1097,5781;935,0022
680;193,424;79,0291;275,883;236,813;418,668;601,37;75,2501;301,362;184,261;201,967;176,027;72,566;6774,07;785,1491;1095,2881;936,183
685;191,437;78,0215;275,09;234,854;420,251;604,325;74,8899;299,461;184,674;201,827;174,994;71,5203;6767,28;779,4025;1099,4659;932,4763
690;189,764;78,944;272,949;235,231;420,633;606,444;75,0622;298,809;185,392;201,827;175,567;72,6408;6769,71;776,888;1102,1392;934,2358
695;189,142;78,5928;273,294;236,153;420,442;606,562;75,1044;298,507;185,834;202,294;175,817;72,8588;6773,1;777,1818;1102,1084;935,3108
700;200,554;82,0325;277,472;237,504;418,171;596,194;75,5073;305,98;181,72;201,619;176,485;72,3395;6790,77;797,5625;1089,8723;938,1435
705;191,302;79,0234;275,343;236,667;420,717;605,387;75,4931;299,868;185,459;202,518;176,745;73,2092;6797,67;782,3354;1101,5971;937,7992
710;199,357;80,3693;280,024;237,913;418,151;597,411;75,6102;304,348;182,528;202,063;177,014;72,7394;6811,03;797,6633;1091,1722;938,6924
715;194,105;80,6522;274,782;236,164;420,235;603,528;75,424;300,499;184,322;202,135;176,012;72,1358;6792,39;785,7032;1099,187;935,1038
720;191,433;79,5555;274,517;235,747;423,396;607,1;75,875;301,801;186,334;202,69;177,338;73,331;6814,58;781,2525;1106,371;941,494
725;199,913;80,8638;279,645;237,413;419,612;597,45;75,7759;304,437;182,33;201,354;177,004;73,0737;6812,36;797,8348;1092,8379;938,1987
730;196,532;80,4622;277,516;236,875;419,799;600,02;75,3931;303,319;183,75;201,572;176,352;72,494;6795,81;791,3852;1095,2121;937,487
735;193,573;79,1553;277,159;235,763;419,811;601,815;74,9416;301,065;184,226;201,804;175,137;71,6442;6776,96;785,6503;1096,5676;933,8762
740;192,608;79,2182;275,884;235,273;420,348;602,882;74,7674;300,127;184,599;201,733;174,788;71,5958;6767,34;782,9832;1097,9974;932,8428
745;194,024;80,6569;275,521;235,456;420,073;601,594;74,751;301,018;183,989;201,427;174,588;70,997;6760,83;785,6579;1096,418;932,019
750;196,069;80,9726;276,471;235,708;419,236;599,888;74,7589;303,045;183,339;201,35;174,492;71,1752;6761,62;789,2206;1093,8829;933,4012
755;198,046;82,272;276,996;237,337;418,496;598,132;75,0627;303,778;183,096;201,627;174,953;71,2352;6768,92;794,651;1091,6907;934,6892
760;197,8;80,9539;278,369;236,043;418,747;598,347;75,0839;302,484;182,63;200,812;175,414;71,926;6776,7;793,1659;1092,1779;933,266
765;198,405;81,4646;279,421;237,695;417,516;596,291;75,2228;303,472;182,389;201,424;175,448;71,274;6777,25;796,9856;1089,0298;934,007
770;191,875;80,3551;275,001;235,824;420,846;605,113;75,1254;299,81;185,383;202,199;176,004;72,2611;6782,72;783,0551;1101,0844;935,6571
775;197,216;81,6561;278,036;237,102;418,891;599,373;75,3666;302,7;183,47;201,976;175,742;71,4226;6788,14;794,0101;1093,6306;935,3106
780;191,856;82,0823;271,895;235,391;421,83;606,356;75,4609;300,433;186,106;202,584;175,94;71,8102;6783,17;781,2243;1103,6469;936,8732
785;194,949;82,0642;274,957;236,653;420,957;602,708;75,5094;302,431;185,086;202,568;176,297;72,0474;6796,32;788,6232;1099,1744;938,4294
790;193,946;80,0488;277,352;236,276;419,721;602,773;75,2894;300,435;184,451;202,084;175,64;71,3128;6791,86;787,6228;1097,7834;933,9228
795;191,743;80,96;273,641;235,956;421,119;605,527;75,3417;299,723;186,003;202,524;175,718;71,883;6783,42;782,3;1101,9877;935,851
800;189,577;79,1817;274,271;234,349;420,573;605,96;75,0713;297,701;185,705;202,242;175,573;71,9106;6773,08;777,3787;1101,6043;933,1316
805;194,643;82,0346;275,351;235,827;420,176;602,134;75,2882;301,171;184,853;202,397;175,926;71,7334;6784,25;787,8556;1097,5982;936,0804
810;190,823;80,9321;274,208;234,877;421,454;605,572;75,2727;298,559;186,202;202,453;175,894;72,1863;6785,6;780,8401;1102,2987;935,2943
815;188,745;81,0821;272,308;234,785;421,915;607,665;75,2956;296,99;186,884;202,637;176,405;73,0795;6778,63;776,9201;1104,8756;935,9955
820;192,656;81,4597;274,471;235,828;420,35;603,852;75,312;300,453;185,49;202,717;176,026;71,9977;6783,8;784,4147;1099,514;936,6837
