0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,produkt,silan,silan,silan,penten,penten,penten,penten,produkt suma,silan suma,penten suma,cale widmo
,Y ,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,,,,
czas (s),"Integral(0.636757,0.572970)","Integral(0.889757,0.814595)","Integral(0.982024,0.932107)","Integral(1.046604,0.985144)","Integral(1.263743,1.196043)","Integral(1.345170,1.269046)","Integral(1.458730,1.384479)","Integral(1.549517,1.479633)","Integral(1.635311,1.553885)","Integral(0.708841,0.638108)","Integral(1.108528,1.048454)","Integral(3.920281,3.598789)","Integral(1.012637,0.971353)","Integral(1.685043,1.598012)","Integral(2.106522,1.964386)","Integral(5.596931,5.302060)",,,,"Integral(7.350003,0.326339)"
320,309.754,3.05872,94.5727,1251.69,13.6981,11.4045,5.94279,7.44029,8.3359,672.846,597.555,148.421,423.091,419.329,268.005,233.769,1705.897,1418.822,1344.194,5963.65
325,307.503,3.73682,92.9454,1246.78,13.0891,11.7143,6.1169,7.53183,8.15254,676.426,602.626,148.566,421.13,419.388,268.259,233.993,1697.56989,1427.618,1342.77,5969.87
330,307.271,3.55423,94.388,1252.51,13.5447,11.9027,5.81925,7.64376,8.51564,675.4,607.12,148.324,422.896,419.317,267.701,233.905,1705.14928,1430.844,1343.819,5970.17
335,311.417,3.42762,94.6362,1252.7,13.4434,12.0016,6.54745,7.34838,8.6011,670.971,598.093,148.383,424.021,418.495,267.95,233.652,1710.12275,1417.447,1344.118,5968.5
340,312.017,3.09799,95.8305,1255.47,13.7667,11.4374,6.22361,7.19817,8.88379,670.265,597.205,148.107,425.996,419.223,267.579,233.403,1713.92516,1415.577,1346.201,5966.52
345,311.65,2.88733,96.312,1251.8,14.773,11.7221,6.00483,7.37019,8.87748,672.859,597.647,148.052,425.453,418.956,267.411,233.648,1711.39693,1418.558,1345.468,5972.48
350,311.303,3.49883,96.2845,1254.8,13.552,12.197,6.15372,7.75937,8.77377,672.333,599.531,148.012,424.782,418.813,267.413,233.592,1714.32219,1419.876,1344.6,5971.77
355,312.389,3.49331,95.1321,1252.43,13.6681,12.2544,6.52339,7.71922,8.65105,672.019,596.721,148.075,425.629,418.759,267.533,233.392,1712.26057,1416.815,1345.313,5974.2
360,310.715,3.18662,94.2786,1250.77,14.2878,12.1312,5.89159,7.47849,8.72587,673.618,601.7,147.713,423.12,418.332,267.013,233.086,1707.46517,1423.031,1341.551,5971.7
365,312.658,3.14314,96.0707,1254.59,14.8224,12.3315,6.17653,7.79013,9.16365,671.089,598.342,147.965,424.659,418.359,267.341,232.976,1716.74605,1417.396,1343.335,5974.47
370,311.929,3.55407,96.0936,1248.61,14.6438,12.4218,6.55716,7.89069,9.39154,672.765,599.735,147.911,425.064,418.353,267.205,232.893,1711.09166,1420.411,1343.515,5976.09
375,309.091,3.57614,94.483,1247.61,14.2028,12.5756,6.77529,8.04726,8.96016,675.42,603.936,147.91,420.826,417.932,267.117,232.874,1705.32125,1427.266,1338.749,5976.68
380,312.754,3.25432,95.6609,1249.82,14.9436,12.7957,6.40961,7.81298,9.18574,671.916,598.106,147.709,423.256,417.547,266.891,232.7,1712.63685,1417.731,1340.394,5974.69
385,312.239,3.83006,95.1812,1254.84,14.4058,12.6022,6.44478,8.05561,9.00754,672.221,601.223,147.603,423.143,417.894,266.535,232.709,1716.60619,1421.047,1340.281,5976.85
390,310.645,3.7089,94.0591,1250.65,15.0848,12.7839,6.55132,8.1539,8.75518,674.515,604.983,147.69,421.683,417.926,266.665,232.87,1710.3921,1427.188,1339.144,5981.2
395,311.121,3.66569,95.0879,1249.4,15.2855,12.9278,6.15812,8.3648,9.13869,675.038,605.039,147.612,422.594,418.205,266.635,232.65,1711.1495,1427.689,1340.084,5982.33
400,312.809,4.2577,97.2827,1253.07,14.7506,13.0591,6.63569,8.58439,9.47159,672.436,600.831,147.414,422.606,417.182,266.338,232.291,1719.92077,1420.681,1338.417,5978.81
405,314.252,4.32356,96.7829,1256.39,14.115,12.3952,6.69132,8.16263,9.21437,671.806,600.357,147.255,423.501,417.618,266.445,232.556,1722.32698,1419.418,1340.12,5986.01
410,313.112,3.9101,95.7883,1256.77,15.0441,13.0787,6.92698,8.36949,9.08974,672.58,604.593,147.327,422.35,417.336,266.633,232.6,1722.08941,1424.5,1338.919,5987.56
415,313.18,3.71863,95.099,1248.27,15.6138,12.738,6.93713,8.56462,9.4333,673.247,601.617,147.325,424.63,417.442,266.489,232.162,1713.55448,1422.189,1340.723,5984.24
420,314.978,5.00434,98.1949,1257.71,14.3077,13.0251,7.12035,8.94838,9.72367,670.754,599.8,147.398,423.64,417.253,266.314,232.227,1729.01244,1417.952,1339.434,5987.36
425,316.757,3.82947,96.5771,1259.16,15.9981,13.2098,6.72668,8.44306,9.48659,669.853,598.871,147.215,424.927,417.545,266.264,232.286,1730.1878,1415.939,1341.022,5989.84
430,315.389,4.3329,96.7696,1253.31,15.2086,13.2468,6.89787,8.77726,9.5871,672.459,600.944,147.295,424.132,416.804,266.23,232.131,1723.51913,1420.698,1339.297,5991.19
435,314.243,4.60133,97.864,1256.27,15.1132,13.17,7.19088,8.97509,9.59828,672.432,601.944,147.131,423.05,417.416,266.027,232.154,1727.02578,1421.507,1338.647,5990.47
440,316.069,4.69113,97.6133,1257.42,15.6009,13.0116,7.13811,9.05132,9.69773,670.703,600.335,147.027,422.924,416.808,266.099,231.941,1730.29309,1418.065,1337.772,5991.83
445,312.798,4.53092,96.7105,1252.09,15.3217,13.7751,7.11136,8.89828,9.63736,674.945,606.457,147.179,422.191,417.372,265.944,231.705,1720.87322,1428.581,1337.212,5992.75
450,319.025,4.4165,97.9156,1262.69,15.5462,13.169,6.8191,8.73906,9.87952,667.551,596.671,146.893,425.275,416.953,265.684,231.611,1738.19998,1411.115,1339.523,5991.22
455,317.096,4.34716,97.4717,1257.77,15.7634,13.4084,7.21962,8.94744,10.0251,669.803,600.568,146.812,424.379,416.277,265.6,231.404,1732.04882,1417.183,1337.66,5988.41
460,315.65,4.82573,96.892,1258.08,14.9353,13.4434,7.41952,8.97092,9.57392,670.329,602.825,146.889,421.427,415.619,265.325,231.279,1729.79079,1420.043,1333.65,5987.7
