#,X(I),Y(X),Y'(X),Y1(X),Y1'(X),Y2(X),Y2'(X),Y3(X),Y3'(X),
Model,"I-1","Integral(5.60000000,5.30000000)","","","","Integral(3.95000000,3.60000000)","","Integral(0.90286037,0.76790933)","",
85,84.00000000,258.33843496,0.00000000,0.00000000,0.00000000,176.93203369,0.00000000,12.61910384,0.00000000,
86,85.00000000,258.47505068,0.00000000,0.00000000,0.00000000,176.59519460,0.00000000,11.71180312,0.00000000,
87,86.00000000,258.81323864,0.00000000,0.00000000,0.00000000,177.50254706,0.00000000,12.58341586,0.00000000,
88,87.00000000,258.84728753,0.00000000,0.00000000,0.00000000,176.59552638,0.00000000,12.06577456,0.00000000,
89,88.00000000,258.81302660,0.00000000,0.00000000,0.00000000,177.01857088,0.00000000,11.99356842,0.00000000,
90,89.00000000,258.58229877,0.00000000,0.00000000,0.00000000,176.94013268,0.00000000,12.09528509,0.00000000,
91,90.00000000,258.01674494,0.00000000,0.00000000,0.00000000,176.77454392,0.00000000,12.77040983,0.00000000,
92,91.00000000,258.24452160,0.00000000,0.00000000,0.00000000,176.56742295,0.00000000,12.31401640,0.00000000,
93,92.00000000,257.59369546,0.00000000,0.00000000,0.00000000,176.63815693,0.00000000,13.44222217,0.00000000,
94,93.00000000,258.16680903,0.00000000,0.00000000,0.00000000,176.95145309,0.00000000,13.65550660,0.00000000,
95,94.00000000,258.43619228,0.00000000,0.00000000,0.00000000,177.05433964,0.00000000,12.72865314,0.00000000,
96,95.00000000,258.17353619,0.00000000,0.00000000,0.00000000,176.50296623,0.00000000,12.02318774,0.00000000,
97,96.00000000,257.43385019,0.00000000,0.00000000,0.00000000,176.50052153,0.00000000,13.30422720,0.00000000,
98,97.00000000,257.13481441,0.00000000,0.00000000,0.00000000,177.10588618,0.00000000,13.87877166,0.00000000,
99,98.00000000,257.94330413,0.00000000,0.00000000,0.00000000,176.62010880,0.00000000,12.74199207,0.00000000,
100,99.00000000,257.09743893,0.00000000,0.00000000,0.00000000,176.28656287,0.00000000,12.91177318,0.00000000,
101,100.00000000,256.80343051,0.00000000,0.00000000,0.00000000,175.73467254,0.00000000,12.44183097,0.00000000,
102,101.00000000,256.46800208,0.00000000,0.00000000,0.00000000,176.69323604,0.00000000,14.34077956,0.00000000,
103,102.00000000,256.46472002,0.00000000,0.00000000,0.00000000,176.66200611,0.00000000,13.71137722,0.00000000,
104,103.00000000,256.59421174,0.00000000,0.00000000,0.00000000,175.79676918,0.00000000,12.81772747,0.00000000,
105,104.00000000,257.19574864,0.00000000,0.00000000,0.00000000,175.89298147,0.00000000,13.06033149,0.00000000,
106,105.00000000,256.82987934,0.00000000,0.00000000,0.00000000,176.28661575,0.00000000,13.13580734,0.00000000,
107,106.00000000,256.19994677,0.00000000,0.00000000,0.00000000,176.13878725,0.00000000,13.36404685,0.00000000,
108,107.00000000,256.88509947,0.00000000,0.00000000,0.00000000,176.12040766,0.00000000,13.32172179,0.00000000,
109,108.00000000,256.22722657,0.00000000,0.00000000,0.00000000,175.63074473,0.00000000,13.39563202,0.00000000,
110,109.00000000,256.15073691,0.00000000,0.00000000,0.00000000,175.49542927,0.00000000,12.77319258,0.00000000,
111,110.00000000,256.01047719,0.00000000,0.00000000,0.00000000,176.14589591,0.00000000,13.75696836,0.00000000,
112,111.00000000,255.55905943,0.00000000,0.00000000,0.00000000,175.26182228,0.00000000,13.33807049,0.00000000,
113,112.00000000,255.75117792,0.00000000,0.00000000,0.00000000,175.89507109,0.00000000,14.08903840,0.00000000,
114,113.00000000,256.30570559,0.00000000,0.00000000,0.00000000,175.41453191,0.00000000,13.31339427,0.00000000,
115,114.00000000,256.74079166,0.00000000,0.00000000,0.00000000,175.95449024,0.00000000,13.68257989,0.00000000,
116,115.00000000,255.35399227,0.00000000,0.00000000,0.00000000,175.35491062,0.00000000,13.41822882,0.00000000,
117,116.00000000,256.31777542,0.00000000,0.00000000,0.00000000,175.39634719,0.00000000,13.30364662,0.00000000,
118,117.00000000,256.22685028,0.00000000,0.00000000,0.00000000,175.74034282,0.00000000,14.03924117,0.00000000,
119,118.00000000,254.92690417,0.00000000,0.00000000,0.00000000,174.60284312,0.00000000,13.74386381,0.00000000,
120,119.00000000,255.29881317,0.00000000,0.00000000,0.00000000,174.92957226,0.00000000,13.58470964,0.00000000,
121,120.00000000,255.21617106,0.00000000,0.00000000,0.00000000,174.65303393,0.00000000,13.87322428,0.00000000,
122,121.00000000,254.40134726,0.00000000,0.00000000,0.00000000,174.77197335,0.00000000,14.65439363,0.00000000,
123,122.00000000,254.76170866,0.00000000,0.00000000,0.00000000,175.56712096,0.00000000,14.85885715,0.00000000,
124,123.00000000,254.92892857,0.00000000,0.00000000,0.00000000,174.80152097,0.00000000,13.27972268,0.00000000,
125,124.00000000,253.82499860,0.00000000,0.00000000,0.00000000,174.31030419,0.00000000,13.88317554,0.00000000,
126,125.00000000,253.14178605,0.00000000,0.00000000,0.00000000,174.14839087,0.00000000,14.51821231,0.00000000,
127,126.00000000,253.55842729,0.00000000,0.00000000,0.00000000,174.03628817,0.00000000,14.60973016,0.00000000,
128,127.00000000,254.78014189,0.00000000,0.00000000,0.00000000,174.58499154,0.00000000,13.21561370,0.00000000,
129,128.00000000,254.07278200,0.00000000,0.00000000,0.00000000,174.21276928,0.00000000,13.45152193,0.00000000,
130,129.00000000,253.80465941,0.00000000,0.00000000,0.00000000,174.81827301,0.00000000,14.70981083,0.00000000,
131,130.00000000,254.32614609,0.00000000,0.00000000,0.00000000,174.86341082,0.00000000,13.82209209,0.00000000,
132,131.00000000,253.48782455,0.00000000,0.00000000,0.00000000,174.76888945,0.00000000,14.82566696,0.00000000,
