ARR_DATA(I)			Integral(5.434,5.394)				Integral(5.255,5.224)				Integral(4.671,4.619)		Integral(4.027,3.987)		
12744	0	0	115.428	0	0	0	37.2039	0	0	0	311.285	0	29.0387	0	
12837	0	0	114.935	0	0	0	36.959	0	0	0	307.124	0	29.1079	0	
12929	0	0	114.957	0	0	0	37.0582	0	0	0	310.306	0	29.3114	0	
13019	0	0	115.125	0	0	0	37.4671	0	0	0	312.318	0	29.5244	0	
13111	0	0	114.655	0	0	0	37.031	0	0	0	308.68	0	29.2683	0	
13200	0	0	114.621	0	0	0	36.9011	0	0	0	308.185	0	29.4652	0	
13292	0	0	114.551	0	0	0	37.3795	0	0	0	312.068	0	29.8342	0	
13385	0	0	114.739	0	0	0	37.4591	0	0	0	312.497	0	29.83	0	
13474	0	0	114.348	0	0	0	37.2874	0	0	0	312.814	0	29.9053	0	
13563	0	0	114.311	0	0	0	37.0626	0	0	0	311.013	0	29.9568	0	
13652	0	0	114.4	0	0	0	37.4021	0	0	0	308.86	0	29.7663	0	
13742	0	0	114.028	0	0	0	37.3918	0	0	0	308.763	0	29.8256	0	
13834	0	0	114.052	0	0	0	37.4981	0	0	0	312.481	0	30.1021	0	
13925	0	0	114.005	0	0	0	37.5623	0	0	0	311.775	0	30.2882	0	
14014	0	0	113.739	0	0	0	37.4878	0	0	0	310.888	0	30.292	0	
14102	0	0	113.801	0	0	0	37.6081	0	0	0	313.757	0	30.4737	0	
14192	0	0	113.399	0	0	0	37.2868	0	0	0	310.496	0	30.5271	0	
14281	0	0	113.086	0	0	0	37.369	0	0	0	310.819	0	30.7596	0	
14372	0	0	113.345	0	0	0	37.4721	0	0	0	312.711	0	30.7177	0	
14461	0	0	113.174	0	0	0	37.6472	0	0	0	314.557	0	31.0931	0	
14552	0	0	112.982	0	0	0	37.4953	0	0	0	314.093	0	30.9549	0	
14642	0	0	113.147	0	0	0	38.0105	0	0	0	315.542	0	31.3656	0	
14732	0	0	112.829	0	0	0	37.4484	0	0	0	313.013	0	31.3332	0	
14822	0	0	113.311	0	0	0	38.5319	0	0	0	316.296	0	31.1377	0	
14914	0	0	112.35	0	0	0	37.4572	0	0	0	312.718	0	31.5858	0	
15002	0	0	111.931	0	0	0	37.1938	0	0	0	312.297	0	31.4536	0	
15093	0	0	112.486	0	0	0	37.7966	0	0	0	312.944	0	31.3841	0	
15184	0	0	112.316	0	0	0	37.781	0	0	0	312.433	0	31.76	0	
15276	0	0	112.17	0	0	0	37.7672	0	0	0	315.385	0	31.8182	0	
15366	0	0	112.271	0	0	0	37.8192	0	0	0	313.259	0	31.9219	0	
15455	0	0	111.671	0	0	0	37.4442	0	0	0	312.468	0	31.9215	0	
15545	0	0	111.921	0	0	0	37.7154	0	0	0	313.277	0	31.9178	0	
15634	0	0	111.728	0	0	0	37.8508	0	0	0	313.708	0	32.1279	0	
15723	0	0	111.78	0	0	0	37.7721	0	0	0	314.527	0	32.3646	0	
15815	0	0	111.586	0	0	0	37.9006	0	0	0	316.312	0	32.6378	0	
15906	0	0	111.263	0	0	0	37.7061	0	0	0	314.801	0	32.3876	0	
15994	0	0	111.098	0	0	0	37.6988	0	0	0	312.536	0	32.3883	0	
16083	0	0	111.254	0	0	0	37.9182	0	0	0	315.49	0	32.3818	0	
16172	0	0	110.988	0	0	0	37.8261	0	0	0	313.311	0	32.6328	0	
16261	0	0	111.291	0	0	0	38.431	0	0	0	314.773	0	32.7253	0	
16354	0	0	111.104	0	0	0	38.5936	0	0	0	314.749	0	32.9992	0	
16447	0	0	111.02	0	0	0	38.1065	0	0	0	314.834	0	32.878	0	
16538	0	0	110.737	0	0	0	38.0793	0	0	0	314.296	0	33.0597	0	
16638	0	0	111.019	0	0	0	38.6265	0	0	0	317.855	0	33.1827	0	
16727	0	0	110.752	0	0	0	38.3615	0	0	0	315.102	0	33.0152	0	
16820	0	0	110.429	0	0	0	38.3852	0	0	0	315.939	0	33.1948	0	
16912	0	0	110.557	0	0	0	38.4589	0	0	0	315.373	0	33.5328	0	
17001	0	0	110.198	0	0	0	38.1398	0	0	0	313.167	0	33.246	0	
17097	0	0	110.909	0	0	0	39.5901	0	0	0	328.442	0	34.2195	0	
17185	0	0	109.996	0	0	0	38.3656	0	0	0	315.686	0	33.8754	0	
17283	0	0	110.608	0	0	0	39.6959	0	0	0	329.091	0	34.3403	0	
17374	0	0	109.873	0	0	0	38.6798	0	0	0	315.476	0	33.865	0	
17466	0	0	109.816	0	0	0	38.363	0	0	0	316.082	0	33.8225	0	
17555	0	0	109.627	0	0	0	38.4996	0	0	0	317.819	0	34.0388	0	
17645	0	0	109.513	0	0	0	38.3655	0	0	0	314.272	0	34.0835	0	
17733	0	0	109.132	0	0	0	38.2964	0	0	0	314.996	0	33.9638	0	
17821	0	0	109.454	0	0	0	38.7711	0	0	0	316.665	0	34.0619	0	
17915	0	0	109.371	0	0	0	38.5757	0	0	0	318.068	0	34.4446	0	
18006	0	0	109.368	0	0	0	38.9461	0	0	0	320.103	0	34.4952	0	
18096	0	0	109.146	0	0	0	38.6528	0	0	0	317.538	0	34.5854	0	
18185	0	0	108.71	0	0	0	38.4038	0	0	0	314.348	0	34.5994	0	
18279	0	0	108.881	0	0	0	38.4908	0	0	0	317.348	0	34.6812	0	
