czas,sacharoza,alfa-glukoza,beta-glukoza,fruktoza,cale widmo
czas (s),"Integral(5.246521,5.185803)","Integral(5.056501,5.013715)","Integral(4.465992,4.419116)","Integral(3.805767,3.776692)","Integral(6.174450,1.387072)"
2175,27.271,2.69014,0.698156,9.90019,761.994
2180,27.2256,2.69743,0.705462,11.1203,772.86
2185,28.0615,2.6618,0.711377,10.8049,873.325
2190,27.1611,2.70015,0.70583,9.1776,882.963
2195,29.064,2.7589,0.726492,9.94794,845.349
2200,26.2254,2.77398,0.728501,9.88789,902.501
2205,27.317,2.76409,0.706483,10.9095,830.89
2210,29.0327,2.72049,0.701804,8.89359,866.992
2215,27.8832,2.67982,0.713167,9.92623,863.046
2220,26.9887,2.71825,0.708808,10.8781,850.23
2225,26.9054,2.83531,0.715588,10.0374,793.851
2230,28.8294,2.74685,0.71116,9.83135,867.298
2235,27.6862,2.77931,0.711896,9.54295,864.807
2240,25.1314,2.70503,0.713723,10.7145,858.985
2245,27.5745,2.78744,0.738209,10.1236,884.535
2250,27.58,2.70853,0.744718,9.85216,881.306
2255,27.6044,2.69628,0.746724,12.8455,899.037
2260,26.8591,2.71184,0.7231,12.3041,910.859
2265,28.4954,2.75971,0.718852,10.8065,775.766
2270,28.4541,2.77248,0.724897,10.0704,842.198
2275,28.4517,2.6136,0.720229,10.9889,870.553
2280,28.4359,2.82336,0.72198,11.0049,814.918
2285,24.8954,2.73055,0.72498,11.8029,863.824
2290,26.4593,2.78962,0.730184,9.92398,810.474
2295,27.2036,2.75307,0.730515,10.0468,882.225
2300,28.2092,2.90941,0.726899,10.0991,827.814
2305,28.3059,2.75513,0.738789,10.3895,828.366
2310,27.1517,2.81352,0.733587,11.9662,809.472
2315,28.1882,2.80432,0.734246,9.89465,819.803
2320,28.0454,2.75205,0.730244,11.8666,872.747
2325,24.6042,2.78044,0.735932,11.8755,891.54
2330,28.0832,2.76759,0.76385,11.4887,819.325
2335,24.4755,2.85683,0.770264,11.5983,855.243
2340,27.9362,2.77247,0.764618,11.0923,844.909
2345,27.9713,2.7767,0.744195,10.0449,838.722
2350,24.3901,2.6952,0.751729,11.1628,835.01
2355,26.1479,2.78998,0.772016,12.1395,797.812
2360,27.8777,2.78773,0.744937,11.2616,797.884
2365,27.7609,2.85273,0.739454,10.4896,857.236
