ARR_DATA(I)	Integral(5.444,5.381)		Integral(5.258,5.220)		Integral(4.667,4.622)		Integral(4.013,3.980)		
32931	30.1893	0	2.37008	0	0.621453	0	6.94263	0	
33020	30.3133	0	2.39244	0	0.587462	0	7.23439	0	
33109	32.0915	0	2.4553	0	0.613916	0	9.28243	0	
33197	31.9162	0	2.39289	0	0.608596	0	7.55593	0	
33290	31.9763	0	2.48906	0	0.616645	0	7.59323	0	
33383	30.8352	0	2.60512	0	0.613899	0	7.75417	0	
33480	30.7144	0	2.46467	0	0.612035	0	7.53022	0	
33572	30.7468	0	2.57852	0	0.616571	0	8.69721	0	
33661	29.998	0	2.41912	0	0.635231	0	7.82656	0	
33753	29.9324	0	2.42963	0	0.632499	0	8.13223	0	
33843	29.7607	0	2.42187	0	0.630939	0	8.554	0	
33934	31.6727	0	2.6397	0	0.625337	0	7.5294	0	
34026	31.6342	0	2.43673	0	0.639937	0	8.20972	0	
34123	31.412	0	2.62691	0	0.617568	0	8.15303	0	
34214	31.5315	0	2.66173	0	0.628165	0	8.56406	0	
34306	30.4448	0	2.52467	0	0.627176	0	9.18798	0	
34396	31.4331	0	2.44171	0	0.645652	0	8.17	0	
34488	31.3601	0	2.45813	0	0.65116	0	9.01653	0	
34580	31.3642	0	2.4638	0	0.652041	0	9.13941	0	
34669	31.254	0	2.64391	0	0.634874	0	8.40665	0	
34762	31.2002	0	2.61831	0	0.633666	0	9.05644	0	
34855	31.2034	0	2.47754	0	0.635211	0	8.88529	0	
34948	30.0978	0	2.4736	0	0.650941	0	9.95825	0	
35041	28.3704	0	2.47381	0	0.655975	0	9.4994	0	
35138	31.0529	0	2.61857	0	0.630772	0	9.21903	0	
35226	29.3422	0	2.49595	0	0.656983	0	9.43463	0	
35317	29.9835	0	2.49778	0	0.660452	0	8.96376	0	
35406	31.0233	0	2.6798	0	0.669253	0	8.54929	0	
35499	30.8688	0	2.49634	0	0.661044	0	8.68003	0	
35590	28.1865	0	2.49535	0	0.662183	0	9.26686	0	
35682	29.1245	0	2.6217	0	0.653475	0	9.16539	0	
35774	30.7161	0	2.50704	0	0.66232	0	9.14095	0	
35863	30.7209	0	2.64617	0	0.672439	0	9.26461	0	
35954	30.6459	0	2.52188	0	0.672485	0	8.85302	0	
36046	30.5827	0	2.53824	0	0.657557	0	9.17277	0	
36138	28.7261	0	2.53492	0	0.67856	0	8.31699	0	
36227	30.5574	0	2.53865	0	0.679657	0	9.62248	0	
36318	28.6784	0	2.6372	0	0.655859	0	8.66979	0	
36407	30.4675	0	2.5518	0	0.679711	0	9.83312	0	
36499	28.5675	0	2.5427	0	0.657062	0	9.45429	0	
36591	28.547	0	2.55958	0	0.677393	0	10.1171	0	
36683	28.5231	0	2.59967	0	0.662365	0	9.59519	0	
36772	30.2972	0	2.69454	0	0.667578	0	8.60572	0	
36861	28.4251	0	2.55778	0	0.676668	0	9.76316	0	
36953	29.171	0	2.78646	0	0.685311	0	9.64653	0	
37042	30.1251	0	2.58202	0	0.684805	0	9.69763	0	
37132	27.5289	0	2.66119	0	0.687858	0	11.2684	0	
37224	28.2165	0	2.58371	0	0.676065	0	10.2048	0	
37315	28.2585	0	2.58641	0	0.708555	0	9.03054	0	
37406	28.3688	0	2.68274	0	0.688219	0	9.98064	0	
37498	28.3295	0	2.58814	0	0.695054	0	9.25621	0	
37588	28.1327	0	2.60668	0	0.689809	0	9.35402	0	
37680	29.8518	0	2.59733	0	0.673207	0	10.1051	0	
37772	29.8694	0	2.70003	0	0.682212	0	9.43407	0	
37861	28.0464	0	2.60547	0	0.695152	0	10.0517	0	
37952	28.0063	0	2.6145	0	0.72217	0	10.2979	0	
38043	27.9297	0	2.6254	0	0.699072	0	10.4619	0	
38136	27.9276	0	2.61959	0	0.700026	0	10.232	0	
38228	27.0794	0	2.62236	0	0.683828	0	9.51023	0	
38320	29.61	0	2.63982	0	0.72297	0	9.18871	0	
38410	28.5388	0	2.66801	0	0.705843	0	10.5105	0	
38501	27.8978	0	2.76031	0	0.704157	0	11.2702	0	
38590	28.4555	0	2.63722	0	0.709318	0	9.74761	0	
38679	29.3753	0	2.64938	0	0.735632	0	9.4914	0	
38768	27.6838	0	2.65869	0	0.729955	0	10.0683	0	
38857	29.3393	0	2.6542	0	0.737179	0	9.69936	0	
38949	27.5645	0	2.69587	0	0.714305	0	10.694	0	
