time (sec) 	Integral(3.131,2.927)	A+B*x A= 10.0498 B= 0.000526739	
65679	46.5284	44.6455	
65769	46.316	44.6929	
65862	47.0649	44.7419	
65954	47.3362	44.7904	
66044	47.6081	44.8378	
66133	46.2808	44.8847	
66222	47.3166	44.9316	
66312	43.4567	44.979	
66400	48.2283	45.0253	
66492	47.6221	45.0738	
66581	48.695	45.1207	
66671	47.033	45.1681	
66764	48.016	45.2171	
66853	47.2005	45.2639	
66945	45.9271	45.3124	
67035	47.5088	45.3598	
67125	47.8167	45.4072	
67217	47.6532	45.4557	
67306	47.8557	45.5025	
67395	48.5348	45.5494	
67488	48.6673	45.5984	
67576	47.7305	45.6448	
67666	48.2045	45.6922	
67757	48.6503	45.7401	
67850	48.3692	45.7891	
67942	48.3638	45.8376	
68031	48.437	45.8844	
68124	48.623	45.9334	
68216	47.592	45.9819	
68309	47.7067	46.0309	
68400	47.6851	46.0788	
68492	47.0663	46.1273	
68583	48.1202	46.1752	
68672	47.6508	46.2221	
68766	45.1561	46.2716	
68859	49.139	46.3206	
68951	49.1968	46.369	
69040	48.6846	46.4159	
69130	48.3898	46.4633	
69219	48.8063	46.5102	
69309	47.9453	46.5576	
69398	49.1529	46.6045	
69490	48.6731	46.6529	
69581	49.5052	46.7009	
69672	49.5263	46.7488	
69768	43.1945	46.7994	
69860	49.8123	46.8478	
69951	49.5825	46.8958	
70044	49.0831	46.9448	
70136	48.4401	46.9932	
70225	48.5556	47.0401	
70315	49.8369	47.0875	
70404	48.2926	47.1344	
70493	49.7408	47.1813	
70584	49.7605	47.2292	
70673	49.3982	47.2761	
70765	46.2347	47.3245	
70855	49.6196	47.3719	
70947	49.2698	47.4204	
71041	50.0809	47.4699	
71141	48.9132	47.5226	
71231	43.481	47.57	
71328	50.84	47.6211	
71419	49.6574	47.669	
71511	49.1989	47.7175	
71601	51.4804	47.7649	
71693	49.275	47.8133	
71781	50.4204	47.8597	
71872	49.9544	47.9076	
71962	50.6182	47.955	
72053	49.1373	48.003	
72145	49.7042	48.0514	
72234	41.2466	48.0983	
72325	49.8103	48.1462	
72418	50.0129	48.1952	
72511	52.1952	48.2442	
72599	45.5779	48.2906	
72691	46.5671	48.339	
72781	50.3635	48.3864	
72873	50.4434	48.4349	
72962	50.3938	48.4818	
73054	50.183	48.5302	
73146	51.4266	48.5787	
73235	50.4216	48.6256	
73326	50.1649	48.6735	
73415	50.6544	48.7204	
73505	51.2634	48.7678	
73595	50.2995	48.8152	
73683	50.4901	48.8616	
73773	50.5187	48.909	
73865	49.7887	48.9574	
73957	51.1343	49.0059	
74049	51.131	49.0543	
74137	51.5626	49.1007	
74229	50.888	49.1492	
74318	50.5342	49.196	
74411	50.7413	49.245	
74503	51.7862	49.2935	
74594	41.651	49.3414	
74684	51.928	49.3888	
74776	50.4704	49.4373	
74869	49.9561	49.4863	
74962	50.6301	49.5353	
75053	49.8961	49.5832	
75146	52.081	49.6322	
75237	51.4955	49.6801	
75328	51.6619	49.728	
75418	51.0662	49.7755	
75511	41.9185	49.8244	
75603	33.5687	49.8729	
75696	51.8681	49.9219	
75788	51.5164	49.9703	
75881	30.4454	50.0193	
75972	51.0406	50.0673	
76065	41.0265	50.1163	
76157	50.9775	50.1647	
76247	52.2055	50.2121	
76336	48.424	50.259	
76427	50.6647	50.3069	
76519	50.7443	50.3554	
76616	34.7315	50.4065	
76706	50.8526	50.4539	
76795	51.8522	50.5008	
76886	47.3647	50.5487	
76976	52.1027	50.5961	
77067	52.1704	50.644	
77157	51.3035	50.6915	
77247	53.0389	50.7389	
77339	53.443	50.7873	
77428	52.3843	50.8342	
77516	48.0797	50.8806	
77605	52.6201	50.9274	
77694	51.8651	50.9743	
77783	52.6266	51.0212	
77873	51.5014	51.0686	
77966	52.3583	51.1176	
78058	52.932	51.166	
78147	55.1193	51.2129	
78241	52.6269	51.2624	
78330	52.8345	51.3093	
78423	50.0407	51.3583	
78513	52.319	51.4057	
78604	46.2862	51.4536	
78695	53.3727	51.5016	
78783	53.5496	51.5479	
78873	52.2735	51.5953	
78966	47.1288	51.6443	
79055	47.8991	51.6912	
79145	53.3285	51.7386	
79237	53.3109	51.7871	
79328	47.5198	51.835	
79419	52.2687	51.8829	
79508	53.5075	51.9298	
79600	53.7591	51.9783	
79692	54.1614	52.0267	
79780	53.385	52.0731	
79869	53.549	52.12	
79961	53.6783	52.1684	
80053	53.6328	52.2169	
80141	46.62	52.2632	
80234	53.1088	52.3122	
80323	52.822	52.3591	
80415	51.5404	52.4076	
80505	54.6894	52.455	
80593	53.7493	52.5013	
80683	52.9788	52.5487	
80774	53.2385	52.5967	
80865	53.8412	52.6446	
80956	53.2802	52.6925	
81046	53.3347	52.7399	
81135	53.8048	52.7868	
81224	53.5675	52.8337	
81317	53.9642	52.8827	
81408	53.7234	52.9306	
81500	54.1062	52.9791	
81589	56.985	53.026	
81681	53.7605	53.0744	
81773	44.0434	53.1229	
81866	54.1722	53.1719	
81957	54.142	53.2198	
82046	50.5565	53.2667	
82137	55.1977	53.3146	
82229	54.2338	53.3631	
82321	54.6237	53.4115	
82411	54.4722	53.4589	
82503	54.6539	53.5074	
82593	54.2811	53.5548	
82683	54.2764	53.6022	
82776	54.996	53.6512	
82864	51.3513	53.6976	
82955	55.4152	53.7455	
83044	54.4082	53.7924	
83136	55.0605	53.8408	
83225	54.2923	53.8877	
83317	54.3913	53.9362	
83410	54.5452	53.9852	
83503	54.4758	54.0341	
83595	53.7758	54.0826	
83688	53.6901	54.1316	
83780	54.8473	54.18	
83870	53.2809	54.2275	
83960	54.4729	54.2749	
84052	55.4297	54.3233	
84142	55.2227	54.3707	
84231	55.4308	54.4176	
84328	36.9833	54.4687	
84417	54.8293	54.5156	
84509	54.7123	54.564	
84602	36.2388	54.613	
84693	54.0021	54.661	
84785	54.1245	54.7094	
84874	55.2743	54.7563	
84966	54.9282	54.8048	
85056	55.5739	54.8522	
85146	55.909	54.8996	
85236	55.0422	54.947	
85327	54.8726	54.9949	
85419	55.4889	55.0434	
85512	54.7689	55.0924	
85603	55.4825	55.1403	
85693	55.4752	55.1877	
85785	55.3361	55.2362	
85876	54.6401	55.2841	
85965	54.6476	55.331	
86054	54.6776	55.3779	
86145	56.0508	55.4258	
86235	55.5219	55.4732	
86328	56.0827	55.5222	
86417	56.1102	55.5691	
86509	55.755	55.6175	
86598	56.0403	55.6644	
86689	55.6812	55.7123	
86782	55.8776	55.7613	
86870	53.8902	55.8077	
86960	55.4767	55.8551	
87051	56.3252	55.903	
87145	55.5105	55.9525	
87236	56.0932	56.0005	
87326	55.1346	56.0479	
87416	55.1715	56.0953	
87506	56.386	56.1427	
87596	56.0701	56.1901	
87687	31.4074	56.238	
87779	55.9338	56.2865	
87869	56.0697	56.3339	
87959	56.1245	56.3813	
88051	56.0488	56.4298	
88140	56.2027	56.4766	
88230	33.9442	56.524	
88320	57.8395	56.5714	
88409	57.0175	56.6183	
88502	55.5701	56.6673	
88591	56.6215	56.7142	
88682	56.6219	56.7621	
88778	36.6621	56.8127	
88869	56.1167	56.8606	
88961	56.8864	56.9091	
89053	57.5417	56.9575	
89145	56.8544	57.006	
89234	56.5808	57.0529	
89328	56.5463	57.1024	
89418	56.1909	57.1498	
89507	57.5185	57.1967	
89599	56.9377	57.2451	
89692	56.8427	57.2941	
89782	57.7513	57.3415	
89874	56.7692	57.39	
89963	57.6706	57.4369	
90056	49.677	57.4859	
90148	54.7819	57.5343	
90241	31.077	57.5833	
90330	53.3501	57.6302	
90423	34.0244	57.6792	
90513	34.1941	57.7266	
90604	56.839	57.7745	
90697	34.9801	57.8235	
90790	57.3833	57.8725	
90879	58.0152	57.9194	
90971	57.1074	57.9678	
91063	58.0344	58.0163	
91159	57.6184	58.0669	
